172,1,20170307272704.0,ABDD,"[1.6594550609588623, 1.9843180179595947, 2.737821578979492, 3.458737373352051, 4.040784120559692]",0,0,1
172,2,20170307272704.0,CBDD,"[1.5000181198120117, 1.8980441093444824, 2.3933615684509277, 2.958488941192627, 3.56660532951355]",14,1,-1
172,3,20170307272704.0,BDCD,"[1.9995620250701904, 2.2799336910247803, 2.914252519607544, 3.1379714012145996, 3.3762547969818115]",1,0,1
172,4,20170307272704.0,AABD,"[1.7890233993530273, 2.313032388687134, 2.958482027053833, 3.509629487991333, 4.2148988246917725]",0,1,1
172,5,20170307272704.0,CDCD,"[1.6350536346435547, 2.111391305923462, 2.6870083808898926, 3.0195276737213135, 3.520082473754883]",1,0,0
172,6,20170307272704.0,DDCD,"[1.4780330657958984, 1.9789001941680908, 2.236346960067749, 2.9043710231781006, 3.5311036109924316]",9,1,-1
172,7,20170307272704.0,ADBD,"[1.5551507472991943, 1.8888657093048096, 2.3919358253479004, 3.1924352645874023, 3.6612370014190674]",7,1,1
172,8,20170307272704.0,BBCD,"[1.9345364570617676, 2.3347315788269043, 2.8704652786254883, 3.4898180961608887, 3.902580738067627]",7,0,1
172,9,20170307272704.0,DDAD,"[1.947127342224121, 2.4537792205810547, 2.8881702423095703, 3.422090768814087, 3.646780014038086]",3,1,1
172,10,20170307272704.0,CBDD,"[1.9830946922302246, 2.266538381576538, 2.476250648498535, 3.1221110820770264, 3.474708318710327]",7,0,-1
172,11,20170307272704.0,CBCD,"[1.8696274757385254, 2.107908010482788, 2.7333033084869385, 3.4342947006225586, 3.6966917514801025]",3,0,1
172,12,20170307272704.0,DDBD,"[1.7885990142822266, 2.303222894668579, 3.013535261154175, 3.638960838317871, 3.861057758331299]",6,0,0
172,13,20170307272704.0,BDAD,"[1.8891620635986328, 2.613351583480835, 3.3893890380859375, 3.8277220726013184, 4.091510057449341]",0,1,0
172,14,20170307272704.0,DCDD,"[1.964646577835083, 2.555898904800415, 2.913019895553589, 3.68485426902771, 4.422731637954712]",15,1,1
172,15,20170307272704.0,BCDD,"[1.9522817134857178, 2.563424587249756, 3.0304248332977295, 3.356400966644287, 4.013824462890625]",10,0,1
172,16,20170307272704.0,DADD,"[1.9450631141662598, 2.5038249492645264, 2.9374289512634277, 3.4459900856018066, 3.7427563667297363]",3,1,0
172,17,20170307272704.0,ABAD,"[1.7741382122039795, 2.2735633850097656, 2.9667880535125732, 3.6760048866271973, 3.9286422729492188]",4,0,1
172,18,20170307272704.0,BDAD,"[125.29343128204346, 126.4836790561676, 127.11736416816711, 128.985830783844, 130.27375435829163]",4,0,-1
172,19,20170307272704.0,CDAD,"[1.9105792045593262, 2.1923272609710693, 2.9062252044677734, 3.5825231075286865, 3.982586145401001]",0,0,1
